"","policy_number","claim_ultimate","claim_number"
"2937","C1AE00281231",225173.977591871,"CR0059841757"
"2938","C1AE00239731",69401.659866143,"CR0006374088"
"2939","C1AE00518137",7742.9789485485,"CR0047391557"
"2940","C1AE00518137",180443.955435516,"CR0090895517"
"2941","C1AE00468655",42667.0501262064,"CR0012474671"
"2942","C1AE00630952",102402.883928134,"CR0036405382"
"2943","C1AE00630952",135829.821147472,"CR0072145979"
"2944","C1AE00630952",167527.686088452,"CR0097341892"
"2945","C1AE00152744",169213.840736794,"CR0032281854"
"2946","C1AE00666965",42399.1463552985,"CR0027163989"
"2947","C1AE00666965",306888.115447906,"CR0034429915"
"2948","C1AE00666965",16943.9348930492,"CR0065776909"
"2949","C1AE00638734",109152.020614352,"CR0030350956"
"2950","C1AE00638734",33098.9326516946,"CR0095548777"
"2951","C1AE00638734",59975.574148659,"CR0072643395"
"2952","C1AE00746418",141769.676002336,"CR0092101099"
"2953","C1AE00919577",1122534.15252421,"CR0006100373"
"2954","C1AE00919577",19486.1685411413,"CR0071181968"
"2955","C1AE00919577",35149.1596739862,"CR0024559464"
"2956","C1AE00610734",54331.0342027404,"CR0060934695"
"2957","C1AE00675221",50830.6989082206,"CR0019490094"
"2958","C1AE00271327",14614.5989448906,"CR0015017704"
"2959","C1AE00050944",3517.37377441265,"CR0046646838"
"2960","C1AE00049558",64099.2256342362,"CR0055233184"
"2961","C1AE00049558",34370.0917832053,"CR0070720354"
"2962","C1AE00049558",26569.2157800706,"CR0076327951"
"2963","C1AE00217302",86562.0258993206,"CR0000319442"
"2964","C1AE00767694",201064.115417171,"CR0099472246"
"2965","C1AE00912755",203243.733339389,"CR0053216180"
"2966","C1AE00912755",81208.1678173322,"CR0087172682"
"2967","C1AE00527806",17800.5803425937,"CR0073597126"
"2968","C1AE00639548",23911.7181871715,"CR0001879839"
"2969","C1AE00639548",51136.6459444025,"CR0018795159"
"2970","C1AE00639548",24790.130148929,"CR0089831859"
"2971","C1AE00675059",379822.58537502,"CR0042791308"
"2972","C1AE00931675",59222.5787905158,"CR0012330794"
"2973","C1AE00931675",197905.689105042,"CR0053482477"
"2974","C1AE00931675",53794.0276184726,"CR0038610178"
"2975","C1AE00908323",691238.738630319,"CR0098286765"
"2976","C1AE00908323",29505.3578994846,"CR0013780199"
"2977","C1AE00908323",77549.1832371137,"CR0049858147"
"2978","C1AE00702705",72373.9810458986,"CR0034730880"
"2979","C1AE00250358",46639.684980121,"CR0062195278"
"2980","C1AE00655287",65879.2145909486,"CR0078209050"
"2981","C1AE00882535",29070.5695254863,"CR0085037824"
"2982","C1AE00882535",65429.9955763282,"CR0015017501"
"2983","C1AE00726326",221692.199354596,"CR0005245783"
"2984","C1AE00491930",108267.156784211,"CR0020274280"
"2985","C1AE00523248",49534.4499948655,"CR0042149210"
"2986","C1AE00804532",164651.174356845,"CR0005371105"
"2987","C1AE00452830",67693.9583481159,"CR0027834499"
"2988","C1AE00641631",68936.4063481427,"CR0048346995"
"2989","C1AE00500506",49838.1509809334,"CR0003034634"
"2990","C1AE00086456",683932.035122779,"CR0010181174"
"2991","C1AE00086456",103377.355753255,"CR0084736395"
"2992","C1AE00086456",85435.5610956169,"CR0010495052"
"2993","C1AE00086456",79731.0603489114,"CR0031015366"
"2994","C1AE00086456",17711.9922003493,"CR0022648599"
"2995","C1AE00063737",241534.398164241,"CR0005519888"
"2996","C1AE00063737",26946.1035442139,"CR0096982162"
"2997","C1AE00882828",17952.7851240888,"CR0003934243"
"2998","C1AE00167114",44689.3497669846,"CR0003190374"
"2999","C1AE00167114",120670.645099599,"CR0066262882"
"3000","C1AE00298391",45729.8342555638,"CR0045097911"
"3001","C1AE00818488",9070.22242879918,"CR0000472575"
"3002","C1AE00220174",170993.291024105,"CR0023683138"
"3003","C1AE00043482",203791.323277353,"CR0022947852"
"3004","C1AE00043482",5936.10864935847,"CR0062524232"
"3005","C1AE00428982",79014.7173811081,"CR0054952146"
"3006","C1AE00428982",125024.744894434,"CR0001542225"
"3007","C1AE00428982",825299.932929592,"CR0003771474"
"3008","C1AE00428982",50552.4809805934,"CR0082105630"
"3009","C1AE00428982",83804.7623023497,"CR0005027161"
"3010","C1AE00428982",29942.9589345295,"CR0003389056"
"3011","C1AE00428982",63320.406655978,"CR0026920208"
"3012","C1AE00428982",12069.2635484235,"CR0036423512"
"3013","C1AE00542916",24588.694936035,"CR0041220991"
"3014","C1AE00542916",54407.8926529863,"CR0088491988"
"3015","C1AE00380231",62151.5510788384,"CR0065392140"
"3016","C1AE00700812",77199.7873065109,"CR0028858583"
"3017","C1AE00700812",25016.7155640579,"CR0075462888"
"3018","C1AE00700812",18333.797501832,"CR0043215575"
"3019","C1AE00700812",42768.5384315981,"CR0054305914"
"3020","C1AE00041493",9578.60276453958,"CR0091454701"
"3021","C1AE00714710",90970.5115397392,"CR0074240005"
"3022","C1AE00206989",32354.3134894083,"CR0012394737"
"3023","C1AE00206989",75924.8187025606,"CR0049389449"
"3024","C1AE00331592",96820.4099523453,"CR0086555946"
"3025","C1AE00331592",178333.002194403,"CR0023159656"
"3026","C1AE00331592",7756.6006538668,"CR0030201739"
"3027","C1AE00288633",147744.053335785,"CR0050658486"
"3028","C1AE00418018",251923.575410277,"CR0065538434"
"3029","C1AE00937071",161381.208010187,"CR0003567462"
"3030","C1AE00937071",39017.5978174545,"CR0057617784"
"3031","C1AE00369350",147041.168244002,"CR0027353442"
"3032","C1AE00369350",31726.7877964062,"CR0013797963"
"3033","C1AE00369350",60970.1602994666,"CR0055406734"
"3034","C1AE00369350",56435.6713026868,"CR0074924998"
"3035","C1AE00340090",27384.3652969785,"CR0053329713"
"3036","C1AE00953677",279437.14290729,"CR0033373897"
"3037","C1AE00007177",206878.87032641,"CR0089459074"
"3038","C1AE00630578",56462.252502153,"CR0095144958"
"3039","C1AE00630578",267586.127516041,"CR0058333961"
"3040","C1AE00630578",84366.0523076356,"CR0066764521"
"3041","C1AE00630578",180550.021167657,"CR0070418574"
"3042","C1AE00593249",58610.5585136938,"CR0084308971"
"3043","C1AE00899359",195074.151137427,"CR0021990348"
"3044","C1AE00999155",29427.8692836476,"CR0081181574"
"3045","C1AE00999155",44251.6998210651,"CR0017371940"
"3046","C1AE00839792",20648.5815580294,"CR0005995858"
"3047","C1AE00019002",29063.0341770955,"CR0059678917"
"3048","C1AE00040279",13680.6998884935,"CR0099635997"
"3049","C1AE00040279",74852.6467772426,"CR0063188152"
"3050","C1AE00040279",257991.092090968,"CR0092266145"
"3051","C1AE00289029",30441.3741525171,"CR0082859281"
"3052","C1AE00322041",274551.203802884,"CR0028664880"
"3053","C1AE00322041",65103.481384989,"CR0060107431"
"3054","C1AE00811803",61111.5668636589,"CR0074154762"
"3055","C1AE00567304",8222.69956418326,"CR0089062659"
"3056","C1AE00762367",135040.230034454,"CR0009183990"
"3057","C1AE00762367",181140.209166848,"CR0010559361"
"3058","C1AE00762367",133057.683376764,"CR0030179707"
"3059","C1AE00949448",76847.1002294404,"CR0020236519"
"3060","C1AE00270707",49731.9713761701,"CR0061246703"
"3061","C1AE00270707",452660.747395089,"CR0052928336"
"3062","C1AE00270707",229086.095708106,"CR0018438526"
"3063","C1AE00556172",6121.962231187,"CR0050233796"
"3064","C1AE00556172",28212.8486068005,"CR0008237997"
"3065","C1AE00351941",10114.2799175476,"CR0066623836"
"3066","C1AE00809746",274159.521530079,"CR0001642302"
"3067","C1AE00809746",68369.1481174794,"CR0001331182"
"3068","C1AE00392382",143002.881238022,"CR0071814378"
"3069","C1AE00455596",27209.8775660495,"CR0089209104"
"3070","C1AE00163700",94575.554111438,"CR0099927441"
"3071","C1AE00211385",73232.2213039132,"CR0057335136"
"3072","C1AE00744452",52086.48583743,"CR0081847381"
"3073","C1AE00744452",286941.128071102,"CR0073432657"
"3074","C1AE00282548",50382.1243513241,"CR0062908557"
"3075","C1AE00282548",17630.8432643008,"CR0029544987"
"3076","C1AE00282548",59183.6217537877,"CR0046872761"
"3077","C1AE00421599",42046.0775723196,"CR0055976123"
"3078","C1AE00707564",8572.61659870563,"CR0047428236"
"3079","C1AE00707564",102280.81085132,"CR0026020252"
"3080","C1AE00707564",201088.376986688,"CR0033788998"
"3081","C1AE00754737",130141.054844234,"CR0072525033"
"3082","C1AE00106503",178491.131746045,"CR0083619760"
"3083","C1AE00104045",84159.1046512048,"CR0041471182"
"3084","C1AE00834335",5213.34641843913,"CR0060619638"
"3085","C1AE00834335",14190.518437917,"CR0005169973"
"3086","C1AE00827278",38043.1074306849,"CR0092914671"
"3087","C1AE00320912",8730.00121832609,"CR0026204549"
"3088","C1AE00320912",7358.85149546719,"CR0039814837"
"3089","C1AE00594444",79234.447883476,"CR0055644258"
"3090","C1AE00594444",23785.4595818656,"CR0050286063"
"3091","C1AE00688388",138228.726882016,"CR0068996357"
"3092","C1AE00688388",59447.4024394811,"CR0095382500"
"3093","C1AE00213597",113961.600209769,"CR0079567222"
"3094","C1AE00091427",39780.0303428966,"CR0049623364"
"3095","C1AE00414963",9772.22557728907,"CR0075555137"
"3096","C1AE00927511",58190.2013385978,"CR0063652932"
"3097","C1AE00216072",149220.105636263,"CR0067614458"
"3098","C1AE00219226",382341.001446727,"CR0039522025"
"3099","C1AE00539230",17791.7598355412,"CR0003147125"
"3100","C1AE00585773",107800.220793178,"CR0045106235"
"3101","C1AE00460135",36148.2870405163,"CR0039877769"
"3102","C1AE00460135",106045.632209131,"CR0014363320"
"3103","C1AE00338757",48338.3337666324,"CR0062067099"
"3104","C1AE00265960",50931.1998412751,"CR0014533606"
"3105","C1AE00265960",112073.664290536,"CR0059835564"
"3106","C1AE00238356",155702.09034092,"CR0017013736"
"3107","C1AE00720333",33889.8939013319,"CR0051720913"
"3108","C1AE00249216",227552.07634098,"CR0007660794"
"3109","C1AE00249216",34526.3000216818,"CR0041693052"
"3110","C1AE00270029",5808.78291594616,"CR0086939573"
"3111","C1AE00270029",90320.8147343775,"CR0088027523"
"3112","C1AE00270029",303136.840626447,"CR0054736059"
"3113","C1AE00270029",176324.680367751,"CR0003399749"
"3114","C1AE00046935",37172.5774799834,"CR0037196190"
"3115","C1AE00046935",97288.1214000268,"CR0054179344"
"3116","C1AE00046935",175342.154211335,"CR0066750552"
"3117","C1AE00046935",71278.9028858463,"CR0079764277"
"3118","C1AE00046935",9978.00698643168,"CR0043475088"
"3119","C1AE00046935",44796.1230891911,"CR0059556864"
"3120","C1AE00046935",26793.3881654641,"CR0099693150"
"3121","C1AE00046935",269930.140920244,"CR0038251404"
"3122","C1AE00613538",39130.2542902757,"CR0044565838"
"3123","C1AE00198892",33829.7012232713,"CR0001954754"
"3124","C1AE00198892",20482.2051871872,"CR0057382398"
"3125","C1AE00198892",16171.2138561576,"CR0073260010"
"3126","C1AE00198892",25867.6483759864,"CR0055412819"
"3127","C1AE00198892",12359.4593248268,"CR0043396403"
"3128","C1AE00198892",23889.5693313208,"CR0014721908"
"3129","C1AE00198892",62666.5122636986,"CR0093770957"
"3130","C1AE00970116",142818.03908751,"CR0023987591"
"3131","C1AE00043971",258139.118288007,"CR0040291462"
"3132","C1AE00136884",59469.3676742022,"CR0083141538"
"3133","C1AE00136884",55530.8826931289,"CR0046885542"
"3134","C1AE00136884",12159.0295438814,"CR0032500671"
"3135","C1AE00584806",35633.5035396423,"CR0082287896"
"3136","C1AE00584806",8749.26929310646,"CR0072381111"
"3137","C1AE00584806",72360.2218467892,"CR0036416084"
"3138","C1AE00584806",117020.495912998,"CR0051645242"
"3139","C1AE00584806",118629.286717848,"CR0006582639"
"3140","C1AE00584806",7711.41425566061,"CR0033140211"
"3141","C1AE00584806",145701.227090023,"CR0096692671"
"3142","C1AE00503828",28768.358571497,"CR0066710615"
"3143","C1AE00038572",281313.128107655,"CR0001389842"
"3144","C1AE00699164",829240.168402101,"CR0072488663"
"3145","C1AE00699164",57619.06677615,"CR0016380158"
"3146","C1AE00555487",98706.3815806083,"CR0002329691"
"3147","C1AE00869130",116276.621815586,"CR0014838531"
"3148","C1AE00869130",30295.0058290182,"CR0094359335"
"3149","C1AE00870365",125133.281832086,"CR0001323254"
"3150","C1AE00287487",8419.96348865966,"CR0001115414"
"3151","C1AE00876838",145296.217282241,"CR0093819313"
"3152","C1AE00984677",29981.6554234248,"CR0087369825"
"3153","C1AE00489772",101573.817216275,"CR0085561938"
"3154","C1AE00489772",19531.2173757249,"CR0005462131"
"3155","C1AE00084858",8047.09867682345,"CR0070246179"
"3156","C1AE00084858",66346.3603915534,"CR0068545138"
"3157","C1AE00064950",7869.2290289281,"CR0006765914"
"3158","C1AE00064950",8035.89220817941,"CR0064956821"
"3159","C1AE00241530",16665.2415958105,"CR0028264526"
"3160","C1AE00608791",35750.3737139606,"CR0039744790"
"3161","C1AE00591395",9598.54155230426,"CR0099831662"
"3162","C1AE00343780",31805.1338455959,"CR0088195154"
"3163","C1AE00333001",1969458.28820225,"CR0009981932"
"3164","C1AE00177201",63097.804007673,"CR0043605631"
"3165","C1AE00143159",39748.4918100233,"CR0012503681"
"3166","C1AE00017724",43767.3474535455,"CR0062617992"
"3167","C1AE00992926",66052.6786201323,"CR0025420173"
"3168","C1AE00992926",46232.5419505589,"CR0040148437"
"3169","C1AE00258219",55258.7905434149,"CR0027341570"
"3170","C1AE00139969",178433.523265352,"CR0006031156"
"3171","C1AE00139969",586832.563005588,"CR0042221326"
"3172","C1AE00139969",61003.3884271096,"CR0015880369"
"3173","C1AE00139969",103811.293965929,"CR0093530387"
"3174","C1AE00139969",60081.8876621756,"CR0043616478"
"3175","C1AE00029469",19470.6675353972,"CR0021964490"
"3176","C1AE00090046",14626.4807312878,"CR0046364806"
"3177","C1AE00090046",17482.8078379143,"CR0086224969"
"3178","C1AE00090046",103564.90567903,"CR0010178091"
"3179","C1AE00090046",25049.1134468634,"CR0054644820"
"3180","C1AE00090046",43967.3838021808,"CR0019719643"
"3181","C1AE00090046",91485.6681174169,"CR0025870304"
"3182","C1AE00794338",103996.441342811,"CR0097432502"
"3183","C1AE00527399",98183.391746776,"CR0012849043"
"3184","C1AE00697232",131108.271867527,"CR0059467415"
"3185","C1AE00697232",90602.7802626343,"CR0088280867"
"3186","C1AE00659306",33019.7381992552,"CR0082056847"
"3187","C1AE00810320",21557.8595256506,"CR0035630502"
"3188","C1AE00810320",199919.035849438,"CR0057115752"
"3189","C1AE00810320",55492.0888920743,"CR0036111320"
"3190","C1AE00810320",702266.964129915,"CR0056932698"
"3191","C1AE00200713",139562.011433333,"CR0038643709"
"3192","C1AE00226133",33000.8597837416,"CR0082624417"
"3193","C1AE00200649",46156.346254925,"CR0006726239"
"3194","C1AE00290318",89639.3514771919,"CR0054910367"
"3195","C1AE00091748",62438.8717309218,"CR0091846463"
"3196","C1AE00091748",38317.8398475973,"CR0048556707"
"3197","C1AE00290721",138030.627737708,"CR0069087948"
"3198","C1AE00334170",33553.462832574,"CR0033763629"
"3199","C1AE00334170",44598.715324781,"CR0046972606"
"3200","C1AE00030488",18429.8357053393,"CR0075548520"
"3201","C1AE00030488",21587.2162935428,"CR0063856082"
"3202","C1AE00030488",86189.22868205,"CR0015411426"
"3203","C1AE00968330",75960.5885997568,"CR0052085467"
"3204","C1AE00702932",6725.17733093621,"CR0069490208"
"3205","C1AE00402825",60474.3282908028,"CR0026025207"
"3206","C1AE00903329",1030805.2489643,"CR0096612837"
"3207","C1AE00300314",181513.560990246,"CR0031239166"
"3208","C1AE00907665",70203.1317377047,"CR0015316396"
"3209","C1AE00355572",155999.876634149,"CR0024179550"
"3210","C1AE00939394",697562.382250349,"CR0036992714"
"3211","C1AE00239686",300550.194251152,"CR0035530399"
"3212","C1AE00205794",40222.306952926,"CR0026229254"
"3213","C1AE00008692",27312.0637818095,"CR0062944075"
"3214","C1AE00381189",104452.382364437,"CR0046374544"
"3215","C1AE00381189",27257.8739389898,"CR0000612974"
"3216","C1AE00381189",160737.649215095,"CR0007388873"
"3217","C1AE00381189",36118.1825723981,"CR0097946455"
"3218","C1AE00381189",38410.3469715761,"CR0066749183"
"3219","C1AE00652615",346973.874475177,"CR0072943173"
"3220","C1AE00004175",19636.7432436181,"CR0079012128"
"3221","C1AE00103334",124415.037470655,"CR0012678287"
"3222","C1AE00840649",8682.27454732508,"CR0004338202"
"3223","C1AE00840649",19661.8286231215,"CR0091629025"
"3224","C1AE00840649",120506.456210557,"CR0093868435"
"3225","C1AE00840649",13073.5229905681,"CR0047266201"
"3226","C1AE00840649",34618.6558866865,"CR0028380382"
"3227","C1AE00840649",27466.4206582997,"CR0027728790"
"3228","C1AE00840649",30987.1345668078,"CR0067663169"
"3229","C1AE00245804",25934.3880972717,"CR0082422809"
"3230","C1AE00245804",52183.6480581972,"CR0076730808"
"3231","C1AE00245804",149884.548098275,"CR0046161389"
"3232","C1AE00013343",86020.4941988718,"CR0031883328"
"3233","C1AE00013343",29060.3480533408,"CR0065625285"
"3234","C1AE00013343",77846.7939709966,"CR0056077968"
"3235","C1AE00013343",397979.487800576,"CR0049618676"
"3236","C1AE00782431",107802.73581188,"CR0024926945"
"3237","C1AE00577489",37316.4596048595,"CR0089606823"
"3238","C1AE00577489",101607.802206226,"CR0023207962"
"3239","C1AE00611315",62195.3556374839,"CR0085787473"
"3240","C1AE00990997",87356.4242285349,"CR0002705864"
"3241","C1AE00512210",20227.8006781708,"CR0074354771"
"3242","C1AE00154758",146208.787476292,"CR0023892813"
"3243","C1AE00747350",17191.803568534,"CR0016732367"
"3244","C1AE00079090",54044.9473186909,"CR0028566152"
"3245","C1AE00973176",84243.6950094347,"CR0051742257"
"3246","C1AE00417552",222002.820641832,"CR0083027704"
"3247","C1AE00417552",105191.857004812,"CR0052618109"
"3248","C1AE00325270",65788.9846749478,"CR0055366829"
"3249","C1AE00132341",402420.788431761,"CR0015817194"
"3250","C1AE00132341",180850.13003423,"CR0071826061"
"3251","C1AE00485613",74438.7154560138,"CR0057306955"
"3252","C1AE00485613",40799.5222717303,"CR0069539809"
"3253","C1AE00485613",46037.141035507,"CR0046472845"
"3254","C1AE00485613",14690.6846634734,"CR0054895186"
"3255","C1AE00485613",53523.561856956,"CR0087803847"
"3256","C1AE00485613",12932.9788497202,"CR0014371252"
"3257","C1AE00668477",99966.29073717,"CR0093112775"
"3258","C1AE00668477",135408.411601263,"CR0030135759"
"3259","C1AE00668477",55671.9508387023,"CR0002254771"
"3260","C1AE00668477",138910.76702641,"CR0057790333"
"3261","C1AE00473025",160836.794069747,"CR0087912814"
"3262","C1AE00114341",42747.1188884503,"CR0090893528"
"3263","C1AE00114341",84407.0117854978,"CR0086592210"
"3264","C1AE00761255",23142.8156048833,"CR0004696240"
"3265","C1AE00047634",100155.481619888,"CR0096579052"
"3266","C1AE00097250",42202.7849052839,"CR0037863949"
"3267","C1AE00247340",194490.357429924,"CR0003141812"
"3268","C1AE00832243",60145.1060966401,"CR0088427737"
"3269","C1AE00849093",53315.2877150221,"CR0096820499"
"3270","C1AE00849093",334401.805638027,"CR0064375615"
"3271","C1AE00849093",32554.4532026915,"CR0098833750"
"3272","C1AE00849093",22865.1943802639,"CR0052140550"
"3273","C1AE00849093",16936.1666943412,"CR0064191273"
"3274","C1AE00150514",154583.27108974,"CR0040081846"
"3275","C1AE00966583",41328.3392310847,"CR0023518978"
"3276","C1AE00966583",576410.693777082,"CR0037856847"
"3277","C1AE00014391",18192.1204540979,"CR0081993321"
"3278","C1AE00971692",950162.005194746,"CR0067044032"
"3279","C1AE00971692",31685.0898890644,"CR0014897123"
"3280","C1AE00307498",73026.2521946456,"CR0087477274"
"3281","C1AE00307498",94205.7893501803,"CR0013344574"
"3282","C1AE00103411",9023.8755088659,"CR0057137093"
"3283","C1AE00976699",111694.59995732,"CR0079639658"
"3284","C1AE00976699",26720.7578570554,"CR0094138352"
"3285","C1AE00976699",209400.499028724,"CR0016570346"
"3286","C1AE00266091",16130.9390451976,"CR0035493747"
"3287","C1AE00266091",50161.7120840052,"CR0041449905"
"3288","C1AE00266091",137686.169831593,"CR0061202226"
"3289","C1AE00266091",29964.7760132862,"CR0096077162"
"3290","C1AE00293879",51063.7889973837,"CR0007898341"
"3291","C1AE00496174",25688.4103557272,"CR0095190558"
"3292","C1AE00058937",8138.43086986598,"CR0037637013"
"3293","C1AE00378615",49593.8141634914,"CR0014510747"
"3294","C1AE00378615",61535.8290989154,"CR0074883951"
"3295","C1AE00378615",133126.317850828,"CR0060713633"
"3296","C1AE00755937",109013.552076596,"CR0037941906"
"3297","C1AE00745722",10035.2413978068,"CR0050284189"
"3298","C1AE00745722",171576.648519369,"CR0019243794"
"3299","C1AE00745722",151937.568000105,"CR0092480131"
"3300","C1AE00221918",67899.7824260089,"CR0040015373"
"3301","C1AE00221918",158791.881458593,"CR0002224445"
"3302","C1AE00428170",96592.1796591176,"CR0044562441"
"3303","C1AE00428170",7585.63829535372,"CR0089958197"
"3304","C1AE00022335",25671.7782846027,"CR0082237882"
"3305","C1AE00890207",134884.102425877,"CR0070351380"
"3306","C1AE00332138",27054.0942034575,"CR0020731355"
"3307","C1AE00332138",25523.5433292983,"CR0038170560"
"3308","C1AE00332138",51060.2145845344,"CR0074277562"
"3309","C1AE00953662",33413.5297973139,"CR0047762684"
"3310","C1AE00953662",45900.59340997,"CR0030126005"
"3311","C1AE00093555",563844.743862233,"CR0028745801"
"3312","C1AE00212102",150283.000463308,"CR0069885565"
"3313","C1AE00389013",53182.4831704012,"CR0011303322"
"3314","C1AE00105148",78298.6711515274,"CR0096822423"
"3315","C1AE00408816",246315.364556669,"CR0079227621"
"3316","C1AE00421717",104385.982160052,"CR0022000472"
"3317","C1AE00144805",244771.735545202,"CR0059607169"
"3318","C1AE00978449",4702.99472815111,"CR0061600466"
"3319","C1AE00978449",72238.1864898493,"CR0094252368"
"3320","C1AE00185234",35447.8685211729,"CR0022426014"
"3321","C1AE00413732",123634.193408251,"CR0082235860"
"3322","C1AE00440577",13421.7117489448,"CR0022480244"
"3323","C1AE00419977",38189.3408804952,"CR0035433363"
"3324","C1AE00419977",6263.81485362027,"CR0070633720"
"3325","C1AE00845494",61694.3554357434,"CR0081842120"
"3326","C1AE00110373",176234.925289475,"CR0019656258"
"3327","C1AE00745670",69554.986704074,"CR0014936800"
"3328","C1AE00745670",42347.1242129727,"CR0029426265"
"3329","C1AE00611219",40858.2678791906,"CR0040492681"
"3330","C1AE00611219",41300.711390631,"CR0053121127"
"3331","C1AE00593679",12496.033896826,"CR0090649118"
"3332","C1AE00593679",91275.2654184718,"CR0087896947"
"3333","C1AE00476186",18198.2579640917,"CR0095920507"
"3334","C1AE00476186",61069.3378742902,"CR0081770258"
"3335","C1AE00087009",83621.0001144384,"CR0059776058"
"3336","C1AE00202015",96816.4797956553,"CR0001704310"
"3337","C1AE00892507",53706.9824803869,"CR0069350849"
"3338","C1AE00892507",25917.4631650071,"CR0008480207"
"3339","C1AE00892507",1638094.08234393,"CR0073698810"
"3340","C1AE00892507",314220.123415474,"CR0063185300"
"3341","C1AE00554693",55718.084203895,"CR0087946821"
"3342","C1AE00684595",5879.50718205106,"CR0024335108"
"3343","C1AE00362950",76409.8470658802,"CR0004281530"
"3344","C1AE00362950",23716.4484670038,"CR0035163830"
"3345","C1AE00362950",21089.3800332506,"CR0099895956"
"3346","C1AE00362950",55051.8522926255,"CR0069389635"
"3347","C1AE00414145",30700.1995828831,"CR0081553265"
"3348","C1AE00414145",10949.5062799734,"CR0011803875"
"3349","C1AE00216734",32124.424253455,"CR0039726494"
"3350","C1AE00351400",6566.54232929636,"CR0071782665"
"3351","C1AE00765041",138312.292317475,"CR0056546847"
"3352","C1AE00716859",35200.3907755317,"CR0047708585"
"3353","C1AE00517283",20836.6059210651,"CR0097638485"
"3354","C1AE00636500",56308.4295117977,"CR0022258379"
"3355","C1AE00511766",28866.2346654485,"CR0044630550"
"3356","C1AE00630903",32019.2581191922,"CR0035363750"
"3357","C1AE00630903",65388.6353483562,"CR0054942230"
"3358","C1AE00642645",94440.0412398058,"CR0096301784"
"3359","C1AE00189694",44642.2624497171,"CR0037197456"
"3360","C1AE00360368",36377.819668801,"CR0033494910"
"3361","C1AE00040861",154302.982928349,"CR0021211545"
"3362","C1AE00338874",83512.0072959804,"CR0014309983"
"3363","C1AE00338874",361746.839365072,"CR0010491383"
"3364","C1AE00338874",270009.778825735,"CR0003243338"
"3365","C1AE00775604",49781.6681374285,"CR0014305255"
"3366","C1AE00398430",8322.71961484616,"CR0069916815"
"3367","C1AE00398430",41348.7711808992,"CR0008729242"
"3368","C1AE00398430",52305.7229899523,"CR0036989585"
"3369","C1AE00398430",59705.6810452635,"CR0093047693"
"3370","C1AE00314462",64038.9096302145,"CR0027446546"
"3371","C1AE00963324",140898.329864422,"CR0020478721"
"3372","C1AE00963324",4053.58140827176,"CR0044987931"
"3373","C1AE00963324",35481.64535396,"CR0084210411"
"3374","C1AE00963324",30843.6517051942,"CR0060189114"
"3375","C1AE00061041",46035.5057844288,"CR0090266485"
"3376","C1AE00061041",62120.6598945051,"CR0019934762"
"3377","C1AE00184843",30559.2983814188,"CR0019853575"
"3378","C1AE00403747",18190.6745225548,"CR0063808523"
"3379","C1AE00223703",44461.2253496442,"CR0011550386"
"3380","C1AE00450902",39032.0108999698,"CR0001975240"
"3381","C1AE00450902",122567.052983365,"CR0037230445"
"3382","C1AE00158679",150861.380555932,"CR0046100583"
"3383","C1AE00994854",206885.342607431,"CR0092894927"
"3384","C1AE00890010",30714.8841030691,"CR0095196443"
"3385","C1AE00995005",54105.641293443,"CR0023330618"
"3386","C1AE00995005",80134.6475368688,"CR0049013729"
"3387","C1AE00995005",84251.945457058,"CR0027736576"
"3388","C1AE00995005",144017.495422408,"CR0054157657"
"3389","C1AE00995005",11883.21405392,"CR0090382056"
"3390","C1AE00855928",14300.714476539,"CR0087455512"
"3391","C1AE00112641",34477.2997557889,"CR0030205953"
"3392","C1AE00112641",9298.27536822083,"CR0008865889"
"3393","C1AE00322424",54238.4215599065,"CR0014831277"
"3394","C1AE00322424",52288.7400823815,"CR0046247109"
"3395","C1AE00715792",224058.385495264,"CR0004382905"
"3396","C1AE00869226",73131.7157991626,"CR0038518644"
"3397","C1AE00113392",197556.157791979,"CR0094522878"
"3398","C1AE00113392",43868.6685096316,"CR0035639434"
"3399","C1AE00051440",37104.6520570634,"CR0034997432"
"3400","C1AE00051440",41061.4488220891,"CR0020501551"
"3401","C1AE00051440",1054888.95152257,"CR0012855711"
"3402","C1AE00994971",65203.7758658981,"CR0016156012"
"3403","C1AE00137169",119529.111431425,"CR0071467521"
"3404","C1AE00137169",28996.6979549847,"CR0099339565"
"3405","C1AE00137169",54683.6861921076,"CR0074495742"
"3406","C1AE00137169",71324.6298212508,"CR0066629962"
"3407","C1AE00137169",17565.6875166809,"CR0038459750"
"3408","C1AE00137169",37279.6038642825,"CR0014785540"
"3409","C1AE00137169",40532.8144913681,"CR0071871956"
"3410","C1AE00303073",84851.2807018623,"CR0095519168"
"3411","C1AE00025073",35535.0467665941,"CR0028040128"
"3412","C1AE00677713",164431.700315674,"CR0013593942"
"3413","C1AE00677713",89075.5932012003,"CR0010732568"
"3414","C1AE00677713",136729.163483586,"CR0079931417"
"3415","C1AE00566465",45968.4495858893,"CR0017239500"
"3416","C1AE00544617",72649.1653713735,"CR0045417560"
"3417","C1AE00544617",220377.765310295,"CR0048577662"
"3418","C1AE00840568",28224.5368186143,"CR0075713285"
"3419","C1AE00840568",413744.209499818,"CR0087710082"
"3420","C1AE00840568",42159.794330318,"CR0000850498"
"3421","C1AE00442945",110602.274354982,"CR0094948290"
"3422","C1AE00442945",70178.5709675398,"CR0057532976"
"3423","C1AE00475721",44803.6570759509,"CR0017624133"
"3424","C1AE00475721",41777.8393635689,"CR0053913913"
