"","policy_number","inception","expiration"
"8296","C1AE00909473","201004","201104"
"8297","C1AE00195143","201304","201404"
"8298","C1AE00738507","201306","201406"
"8299","C1AE00612549","201409","201509"
"8300","C1AE00164212","201603","201703"
"8301","C1AE00316437","201505","201605"
"8302","C1AE00620733","201507","201607"
"8303","C1AE00878084","201102","201202"
"8304","C1AE00115887","201106","201206"
"8305","C1AE00980308","201604","201704"
"8306","C1AE00312112","200807","200907"
"8307","C1AE00259003","200705","200805"
"8308","C1AE00440121","201112","201212"
"8309","C1AE00986599","201601","201701"
"8310","C1AE00243103","201511","201611"
"8311","C1AE00061169","201102","201202"
"8312","C1AE00435391","201611","201711"
"8313","C1AE00409813","201009","201109"
"8314","C1AE00922436","201410","201510"
"8315","C1AE00917169","201003","201103"
"8316","C1AE00721061","201502","201602"
"8317","C1AE00627815","201212","201312"
"8318","C1AE00897376","201107","201207"
"8319","C1AE00693005","200801","200901"
"8320","C1AE00466318","201103","201203"
"8321","C1AE00370122","201205","201305"
"8322","C1AE00025236","201405","201505"
"8323","C1AE00847168","201207","201307"
"8324","C1AE00499846","201201","201301"
"8325","C1AE00393910","201109","201209"
"8326","C1AE00517968","201012","201112"
"8327","C1AE00967617","201409","201509"
"8328","C1AE00228690","200807","200907"
"8329","C1AE00120133","201312","201412"
"8330","C1AE00679010","201312","201412"
"8331","C1AE00303505","201411","201511"
"8332","C1AE00430725","201109","201209"
"8333","C1AE00691642","201312","201412"
"8334","C1AE00703524","201201","201301"
"8335","C1AE00229024","201208","201308"
"8336","C1AE00851363","201202","201302"
"8337","C1AE00507448","201310","201410"
"8338","C1AE00954457","201009","201109"
"8339","C1AE00487421","201207","201307"
"8340","C1AE00417270","201407","201507"
"8341","C1AE00160643","201203","201303"
"8342","C1AE00664503","201304","201404"
"8343","C1AE00593105","201311","201411"
"8344","C1AE00827702","201412","201512"
"8345","C1AE00159795","201204","201304"
"8346","C1AE00040249","201204","201304"
"8347","C1AE00695818","200904","201004"
"8348","C1AE00594805","201603","201703"
"8349","C1AE00142205","201201","201301"
"8350","C1AE00847134","201508","201608"
"8351","C1AE00430237","201209","201309"
"8352","C1AE00139457","201409","201509"
"8353","C1AE00081195","201206","201306"
"8354","C1AE00391951","200908","201008"
"8355","C1AE00564384","201001","201101"
"8356","C1AE00507197","200912","201012"
"8357","C1AE00588637","201101","201201"
"8358","C1AE00021895","201509","201609"
"8359","C1AE00691598","201504","201604"
"8360","C1AE00739386","201612","201712"
"8361","C1AE00428623","201503","201603"
"8362","C1AE00996853","201606","201706"
"8363","C1AE00657877","201210","201310"
"8364","C1AE00729218","201302","201402"
"8365","C1AE00202508","201509","201609"
"8366","C1AE00397982","201502","201602"
"8367","C1AE00280144","201310","201410"
"8368","C1AE00227297","201002","201102"
"8369","C1AE00461287","201111","201211"
"8370","C1AE00966233","201409","201509"
"8371","C1AE00320058","201308","201408"
"8372","C1AE00504835","201211","201311"
"8373","C1AE00099815","200908","201008"
"8374","C1AE00877728","201206","201306"
"8375","C1AE00942759","201508","201608"
"8376","C1AE00912018","201002","201102"
"8377","C1AE00750501","201401","201501"
"8378","C1AE00231854","201612","201712"
"8379","C1AE00978484","201403","201503"
"8380","C1AE00653351","201208","201308"
"8381","C1AE00051869","201607","201707"
"8382","C1AE00101716","201203","201303"
"8383","C1AE00793774","201204","201304"
"8384","C1AE00734111","201605","201705"
"8385","C1AE00002481","201608","201708"
"8386","C1AE00309387","200701","200801"
"8387","C1AE00290897","200910","201010"
"8388","C1AE00678349","201409","201509"
"8389","C1AE00959101","201209","201309"
"8390","C1AE00839728","201505","201605"
"8391","C1AE00074040","201210","201310"
"8392","C1AE00689371","200905","201005"
"8393","C1AE00285173","200710","200810"
"8394","C1AE00148134","201101","201201"
"8395","C1AE00347254","201408","201508"
"8396","C1AE00268296","201104","201204"
"8397","C1AE00264891","201212","201312"
"8398","C1AE00757191","201509","201609"
"8399","C1AE00798470","201210","201310"
"8400","C1AE00579148","201105","201205"
"8401","C1AE00142404","201402","201502"
"8402","C1AE00580638","201508","201608"
"8403","C1AE00545992","201007","201107"
"8404","C1AE00943266","201304","201404"
"8405","C1AE00167626","201312","201412"
"8406","C1AE00303621","201409","201509"
"8407","C1AE00364033","201402","201502"
"8408","C1AE00964966","200903","201003"
"8409","C1AE00666964","200903","201003"
"8410","C1AE00281506","201508","201608"
"8411","C1AE00859654","201205","201305"
"8412","C1AE00533070","201107","201207"
"8413","C1AE00662238","201207","201307"
"8414","C1AE00393235","201306","201406"
"8415","C1AE00593576","200809","200909"
"8416","C1AE00882682","201409","201509"
"8417","C1AE00942285","201509","201609"
"8418","C1AE00523690","201310","201410"
"8419","C1AE00668430","200704","200804"
"8420","C1AE00388727","201408","201508"
"8421","C1AE00822689","201511","201611"
"8422","C1AE00143668","201403","201503"
"8423","C1AE00473604","201009","201109"
"8424","C1AE00609387","201004","201104"
"8425","C1AE00274459","201405","201505"
"8426","C1AE00922268","201004","201104"
"8427","C1AE00451686","201606","201706"
"8428","C1AE00587837","201202","201302"
"8429","C1AE00910727","201007","201107"
"8430","C1AE00374260","201306","201406"
"8431","C1AE00991391","200811","200911"
"8432","C1AE00707276","201311","201411"
"8433","C1AE00998968","201608","201708"
"8434","C1AE00114785","200711","200811"
"8435","C1AE00349858","200810","200910"
"8436","C1AE00985466","201408","201508"
"8437","C1AE00764118","200809","200909"
"8438","C1AE00251789","201111","201211"
"8439","C1AE00949531","201411","201511"
"8440","C1AE00962220","201403","201503"
"8441","C1AE00141185","201405","201505"
"8442","C1AE00575929","200906","201006"
"8443","C1AE00380364","201512","201612"
"8444","C1AE00097871","201605","201705"
"8445","C1AE00153497","201606","201706"
"8446","C1AE00051624","201504","201604"
"8447","C1AE00432143","201001","201101"
"8448","C1AE00675020","201603","201703"
"8449","C1AE00942899","201608","201708"
"8450","C1AE00781893","201011","201111"
"8451","C1AE00102520","201002","201102"
"8452","C1AE00326423","201301","201401"
"8453","C1AE00077651","201305","201405"
"8454","C1AE00755716","201306","201406"
"8455","C1AE00108565","201510","201610"
"8456","C1AE00687669","200805","200905"
"8457","C1AE00710235","201506","201606"
"8458","C1AE00585986","201302","201402"
"8459","C1AE00505890","201301","201401"
"8460","C1AE00361629","201503","201603"
"8461","C1AE00102267","201012","201112"
"8462","C1AE00263753","201501","201601"
"8463","C1AE00544951","201610","201710"
"8464","C1AE00866829","201211","201311"
"8465","C1AE00136817","201402","201502"
"8466","C1AE00486652","200908","201008"
"8467","C1AE00602237","201501","201601"
"8468","C1AE00783173","201505","201605"
"8469","C1AE00700609","200903","201003"
"8470","C1AE00558333","201511","201611"
"8471","C1AE00543786","201208","201308"
"8472","C1AE00435184","200805","200905"
"8473","C1AE00266225","201502","201602"
"8474","C1AE00577576","201401","201501"
"8475","C1AE00608197","201201","201301"
"8476","C1AE00667644","201108","201208"
"8477","C1AE00377992","200802","200902"
"8478","C1AE00718153","201006","201106"
"8479","C1AE00304198","201511","201611"
"8480","C1AE00062355","201308","201408"
"8481","C1AE00747364","201004","201104"
"8482","C1AE00421577","201304","201404"
"8483","C1AE00886271","200808","200908"
"8484","C1AE00918343","201503","201603"
"8485","C1AE00702428","201406","201506"
"8486","C1AE00736787","200911","201011"
"8487","C1AE00650179","201208","201308"
"8488","C1AE00254344","201302","201402"
"8489","C1AE00244817","201304","201404"
"8490","C1AE00078745","200803","200903"
"8491","C1AE00497495","201308","201408"
"8492","C1AE00917718","201110","201210"
"8493","C1AE00796353","201605","201705"
"8494","C1AE00001012","201609","201709"
"8495","C1AE00273751","201510","201610"
"8496","C1AE00998161","201407","201507"
"8497","C1AE00202266","201404","201504"
"8498","C1AE00042463","201205","201305"
"8499","C1AE00606388","201205","201305"
"8500","C1AE00989619","201605","201705"
"8501","C1AE00043099","201403","201503"
"8502","C1AE00215307","201211","201311"
"8503","C1AE00331669","200809","200909"
"8504","C1AE00350435","201410","201510"
"8505","C1AE00590789","201108","201208"
"8506","C1AE00953612","201009","201109"
"8507","C1AE00076018","201510","201610"
"8508","C1AE00425139","201210","201310"
"8509","C1AE00498837","201502","201602"
"8510","C1AE00506075","201609","201709"
"8511","C1AE00388548","201012","201112"
"8512","C1AE00579964","201205","201305"
"8513","C1AE00111001","201105","201205"
"8514","C1AE00549618","200805","200905"
"8515","C1AE00692945","201011","201111"
"8516","C1AE00191207","201311","201411"
"8517","C1AE00384245","201503","201603"
"8518","C1AE00471316","201501","201601"
"8519","C1AE00519415","201601","201701"
"8520","C1AE00389340","201609","201709"
"8521","C1AE00382103","201204","201304"
"8522","C1AE00591070","200901","201001"
"8523","C1AE00786542","201609","201709"
"8524","C1AE00245356","201409","201509"
"8525","C1AE00760456","201306","201406"
"8526","C1AE00237482","201402","201502"
"8527","C1AE00640232","201304","201404"
"8528","C1AE00205521","201507","201607"
"8529","C1AE00188151","201208","201308"
"8530","C1AE00404093","201305","201405"
"8531","C1AE00004290","201209","201309"
"8532","C1AE00747043","201006","201106"
"8533","C1AE00434413","200904","201004"
"8534","C1AE00389266","201508","201608"
"8535","C1AE00600860","200905","201005"
"8536","C1AE00864067","201402","201502"
"8537","C1AE00573578","201508","201608"
"8538","C1AE00139433","201110","201210"
"8539","C1AE00467217","200902","201002"
"8540","C1AE00280963","201106","201206"
"8541","C1AE00337604","201601","201701"
"8542","C1AE00355304","201109","201209"
"8543","C1AE00164646","200805","200905"
"8544","C1AE00815064","201408","201508"
"8545","C1AE00073078","201104","201204"
"8546","C1AE00843982","200804","200904"
"8547","C1AE00596764","201409","201509"
"8548","C1AE00072066","201606","201706"
"8549","C1AE00432946","201507","201607"
"8550","C1AE00761140","201005","201105"
"8551","C1AE00601460","201104","201204"
"8552","C1AE00615881","200811","200911"
"8553","C1AE00790428","201507","201607"
"8554","C1AE00275043","201109","201209"
"8555","C1AE00557369","201103","201203"
"8556","C1AE00511688","201604","201704"
"8557","C1AE00912888","200905","201005"
"8558","C1AE00438526","201403","201503"
"8559","C1AE00091929","200901","201001"
"8560","C1AE00654761","201112","201212"
"8561","C1AE00967921","200811","200911"
"8562","C1AE00165013","201610","201710"
"8563","C1AE00904740","201409","201509"
"8564","C1AE00576416","201201","201301"
"8565","C1AE00213973","201607","201707"
"8566","C1AE00599263","201112","201212"
"8567","C1AE00607996","201307","201407"
"8568","C1AE00203309","200912","201012"
"8569","C1AE00579556","201102","201202"
"8570","C1AE00178622","201304","201404"
"8571","C1AE00303349","201210","201310"
"8572","C1AE00851051","200905","201005"
"8573","C1AE00657730","200907","201007"
"8574","C1AE00462154","200909","201009"
"8575","C1AE00525351","201601","201701"
"8576","C1AE00023089","201503","201603"
"8577","C1AE00942913","201202","201302"
"8578","C1AE00015160","201112","201212"
"8579","C1AE00700798","201109","201209"
"8580","C1AE00479941","201312","201412"
"8581","C1AE00055608","201306","201406"
"8582","C1AE00977033","201111","201211"
"8583","C1AE00438782","200905","201005"
"8584","C1AE00626747","201304","201404"
"8585","C1AE00623615","201007","201107"
"8586","C1AE00609476","201603","201703"
"8587","C1AE00250962","201503","201603"
"8588","C1AE00602507","201402","201502"
"8589","C1AE00494667","201610","201710"
"8590","C1AE00888981","201409","201509"
"8591","C1AE00262893","201001","201101"
"8592","C1AE00390045","201102","201202"
"8593","C1AE00067212","201201","201301"
"8594","C1AE00073930","201408","201508"
"8595","C1AE00180253","201501","201601"
"8596","C1AE00615049","201310","201410"
"8597","C1AE00138724","201112","201212"
"8598","C1AE00223557","201403","201503"
"8599","C1AE00326072","201309","201409"
"8600","C1AE00990028","201505","201605"
"8601","C1AE00397905","201306","201406"
"8602","C1AE00272646","201505","201605"
"8603","C1AE00539109","200910","201010"
"8604","C1AE00827316","201309","201409"
"8605","C1AE00193126","201401","201501"
"8606","C1AE00035661","201506","201606"
"8607","C1AE00076403","201511","201611"
"8608","C1AE00703808","201211","201311"
"8609","C1AE00906722","201602","201702"
"8610","C1AE00332749","201303","201403"
"8611","C1AE00413033","201309","201409"
"8612","C1AE00181956","201402","201502"
"8613","C1AE00393324","201305","201405"
"8614","C1AE00052010","201411","201511"
"8615","C1AE00995524","201503","201603"
"8616","C1AE00476330","201607","201707"
"8617","C1AE00657663","201209","201309"
"8618","C1AE00457803","201203","201303"
"8619","C1AE00586309","201302","201402"
"8620","C1AE00988916","201104","201204"
"8621","C1AE00667123","200902","201002"
"8622","C1AE00835448","201204","201304"
"8623","C1AE00078937","201303","201403"
"8624","C1AE00810878","201203","201303"
"8625","C1AE00788858","201604","201704"
"8626","C1AE00205727","201512","201612"
"8627","C1AE00055867","201508","201608"
"8628","C1AE00556892","201212","201312"
"8629","C1AE00422483","201603","201703"
"8630","C1AE00551825","201011","201111"
"8631","C1AE00051427","200805","200905"
"8632","C1AE00525553","201207","201307"
"8633","C1AE00066808","200704","200804"
"8634","C1AE00580713","201608","201708"
"8635","C1AE00120576","201108","201208"
"8636","C1AE00313627","201301","201401"
"8637","C1AE00427711","201601","201701"
"8638","C1AE00825512","201312","201412"
"8639","C1AE00739548","200801","200901"
"8640","C1AE00912115","201602","201702"
"8641","C1AE00489788","201311","201411"
"8642","C1AE00237803","201503","201603"
"8643","C1AE00497488","201610","201710"
"8644","C1AE00366391","201411","201511"
"8645","C1AE00170422","201606","201706"
"8646","C1AE00421059","201511","201611"
"8647","C1AE00129039","201003","201103"
"8648","C1AE00812401","201309","201409"
"8649","C1AE00306537","201011","201111"
"8650","C1AE00267762","201011","201111"
"8651","C1AE00083625","201301","201401"
"8652","C1AE00552412","201407","201507"
"8653","C1AE00286027","201107","201207"
"8654","C1AE00960334","201207","201307"
"8655","C1AE00216682","201104","201204"
"8656","C1AE00979702","201409","201509"
"8657","C1AE00008305","201306","201406"
"8658","C1AE00165851","201603","201703"
"8659","C1AE00148104","200905","201005"
"8660","C1AE00410547","201611","201711"
"8661","C1AE00302219","201005","201105"
"8662","C1AE00789199","201211","201311"
"8663","C1AE00526115","201110","201210"
"8664","C1AE00739965","201604","201704"
"8665","C1AE00601163","201511","201611"
"8666","C1AE00031558","200810","200910"
"8667","C1AE00150163","201107","201207"
"8668","C1AE00379828","201404","201504"
"8669","C1AE00057981","201304","201404"
"8670","C1AE00991114","201601","201701"
"8671","C1AE00141930","200902","201002"
"8672","C1AE00344634","201102","201202"
"8673","C1AE00422848","201302","201402"
"8674","C1AE00851873","201109","201209"
"8675","C1AE00586638","201009","201109"
"8676","C1AE00199041","201402","201502"
"8677","C1AE00989533","200902","201002"
"8678","C1AE00132876","201402","201502"
"8679","C1AE00842231","201503","201603"
"8680","C1AE00198685","201006","201106"
"8681","C1AE00100354","201210","201310"
"8682","C1AE00469249","201505","201605"
"8683","C1AE00756134","201103","201203"
"8684","C1AE00942204","201205","201305"
"8685","C1AE00132231","201406","201506"
"8686","C1AE00761926","201303","201403"
"8687","C1AE00117436","201404","201504"
"8688","C1AE00981869","201302","201402"
"8689","C1AE00803978","201603","201703"
"8690","C1AE00463008","201011","201111"
"8691","C1AE00236049","201610","201710"
"8692","C1AE00509955","201602","201702"
"8693","C1AE00100401","200803","200903"
"8694","C1AE00515781","201003","201103"
"8695","C1AE00882200","201601","201701"
"8696","C1AE00048251","201609","201709"
"8697","C1AE00666393","201605","201705"
"8698","C1AE00929554","201002","201102"
"8699","C1AE00276578","201102","201202"
"8700","C1AE00442021","201111","201211"
"8701","C1AE00083736","201006","201106"
"8702","C1AE00425646","201308","201408"
"8703","C1AE00956414","201304","201404"
"8704","C1AE00246077","200909","201009"
"8705","C1AE00905669","201107","201207"
"8706","C1AE00081162","200712","200812"
"8707","C1AE00063127","201507","201607"
"8708","C1AE00829964","200908","201008"
"8709","C1AE00089335","201210","201310"
"8710","C1AE00021196","201610","201710"
"8711","C1AE00966480","201109","201209"
"8712","C1AE00958354","201403","201503"
"8713","C1AE00794554","201606","201706"
"8714","C1AE00950675","201611","201711"
"8715","C1AE00501161","201504","201604"
"8716","C1AE00620500","201402","201502"
"8717","C1AE00343373","200804","200904"
"8718","C1AE00929202","201006","201106"
"8719","C1AE00632342","201104","201204"
"8720","C1AE00238626","201304","201404"
"8721","C1AE00913831","201106","201206"
"8722","C1AE00311135","201602","201702"
"8723","C1AE00912284","201407","201507"
"8724","C1AE00960702","201302","201402"
"8725","C1AE00081118","201311","201411"
"8726","C1AE00363356","201408","201508"
"8727","C1AE00249454","200905","201005"
"8728","C1AE00777080","200909","201009"
"8729","C1AE00220800","201011","201111"
"8730","C1AE00129049","201605","201705"
"8731","C1AE00331968","201003","201103"
"8732","C1AE00014545","201608","201708"
"8733","C1AE00554486","201401","201501"
"8734","C1AE00948026","201511","201611"
"8735","C1AE00878910","200906","201006"
"8736","C1AE00587082","201108","201208"
"8737","C1AE00384489","201412","201512"
"8738","C1AE00094286","201105","201205"
"8739","C1AE00124882","201211","201311"
"8740","C1AE00378620","200805","200905"
"8741","C1AE00208335","201611","201711"
"8742","C1AE00134189","201011","201111"
"8743","C1AE00837093","201012","201112"
"8744","C1AE00317339","200804","200904"
"8745","C1AE00461428","201612","201712"
"8746","C1AE00775336","201309","201409"
"8747","C1AE00598267","201206","201306"
"8748","C1AE00348811","201006","201106"
"8749","C1AE00764116","200910","201010"
"8750","C1AE00254544","201202","201302"
"8751","C1AE00458854","201505","201605"
"8752","C1AE00331563","201209","201309"
"8753","C1AE00027809","201610","201710"
"8754","C1AE00385372","201403","201503"
"8755","C1AE00348010","201402","201502"
"8756","C1AE00477885","201607","201707"
"8757","C1AE00160182","201102","201202"
"8758","C1AE00332511","201206","201306"
"8759","C1AE00971121","201012","201112"
"8760","C1AE00766160","201001","201101"
"8761","C1AE00586766","201211","201311"
"8762","C1AE00557144","201009","201109"
"8763","C1AE00690647","201209","201309"
"8764","C1AE00454195","201206","201306"
"8765","C1AE00589273","201602","201702"
"8766","C1AE00180290","201502","201602"
"8767","C1AE00820519","201008","201108"
"8768","C1AE00006735","201304","201404"
"8769","C1AE00315809","201505","201605"
"8770","C1AE00725553","201402","201502"
"8771","C1AE00300838","201302","201402"
"8772","C1AE00550677","201207","201307"
"8773","C1AE00541853","201204","201304"
"8774","C1AE00262663","200801","200901"
"8775","C1AE00851612","201402","201502"
"8776","C1AE00450625","200804","200904"
"8777","C1AE00873601","201402","201502"
"8778","C1AE00483512","200703","200803"
"8779","C1AE00837478","201101","201201"
"8780","C1AE00494183","201405","201505"
"8781","C1AE00828804","201106","201206"
"8782","C1AE00001757","201403","201503"
"8783","C1AE00977555","201508","201608"
"8784","C1AE00327147","201511","201611"
"8785","C1AE00727308","201002","201102"
"8786","C1AE00065799","201604","201704"
"8787","C1AE00828849","201608","201708"
"8788","C1AE00507612","201211","201311"
"8789","C1AE00001187","201504","201604"
"8790","C1AE00594485","200904","201004"
"8791","C1AE00483591","201602","201702"
"8792","C1AE00761892","201310","201410"
"8793","C1AE00856635","201606","201706"
"8794","C1AE00817831","201412","201512"
"8795","C1AE00998959","201204","201304"
"8796","C1AE00054564","201307","201407"
"8797","C1AE00208546","201004","201104"
"8798","C1AE00905467","201411","201511"
"8799","C1AE00275496","201209","201309"
"8800","C1AE00757401","201603","201703"
"8801","C1AE00450924","201406","201506"
"8802","C1AE00018326","201407","201507"
"8803","C1AE00808534","201010","201110"
"8804","C1AE00158776","201201","201301"
"8805","C1AE00182195","201601","201701"
"8806","C1AE00359558","201608","201708"
"8807","C1AE00451603","201203","201303"
"8808","C1AE00171711","201311","201411"
"8809","C1AE00947406","201401","201501"
"8810","C1AE00175512","201408","201508"
"8811","C1AE00135217","201512","201612"
"8812","C1AE00550331","200907","201007"
"8813","C1AE00171651","200909","201009"
"8814","C1AE00046863","201003","201103"
"8815","C1AE00744809","201408","201508"
"8816","C1AE00809800","201107","201207"
"8817","C1AE00871605","201004","201104"
"8818","C1AE00868154","201408","201508"
"8819","C1AE00873115","201606","201706"
"8820","C1AE00839054","201102","201202"
"8821","C1AE00246959","201105","201205"
"8822","C1AE00755163","201208","201308"
"8823","C1AE00259789","201602","201702"
"8824","C1AE00512434","200901","201001"
"8825","C1AE00660413","201403","201503"
"8826","C1AE00108203","201305","201405"
"8827","C1AE00805171","201112","201212"
"8828","C1AE00100979","200901","201001"
"8829","C1AE00637503","201206","201306"
"8830","C1AE00272699","200805","200905"
"8831","C1AE00451371","201502","201602"
"8832","C1AE00949253","201103","201203"
"8833","C1AE00593058","201104","201204"
"8834","C1AE00474362","201109","201209"
"8835","C1AE00833572","200812","200912"
"8836","C1AE00483372","201203","201303"
"8837","C1AE00696313","201502","201602"
"8838","C1AE00489627","201309","201409"
"8839","C1AE00897843","201306","201406"
"8840","C1AE00718569","201304","201404"
"8841","C1AE00668285","200806","200906"
"8842","C1AE00280585","201110","201210"
"8843","C1AE00143165","201512","201612"
"8844","C1AE00287721","201505","201605"
"8845","C1AE00291894","200805","200905"
"8846","C1AE00159667","201401","201501"
"8847","C1AE00849392","200810","200910"
"8848","C1AE00541468","201604","201704"
"8849","C1AE00365734","201302","201402"
"8850","C1AE00029087","201103","201203"
"8851","C1AE00110149","201305","201405"
"8852","C1AE00396849","201208","201308"
"8853","C1AE00245410","201309","201409"
"8854","C1AE00532574","201501","201601"
"8855","C1AE00323986","201610","201710"
"8856","C1AE00578582","201408","201508"
"8857","C1AE00767686","201612","201712"
"8858","C1AE00719687","201607","201707"
"8859","C1AE00717359","201610","201710"
"8860","C1AE00764242","201605","201705"
"8861","C1AE00349336","201611","201711"
"8862","C1AE00210333","201506","201606"
"8863","C1AE00612533","201511","201611"
"8864","C1AE00621346","201303","201403"
"8865","C1AE00135005","201109","201209"
"8866","C1AE00109101","201002","201102"
"8867","C1AE00080526","200902","201002"
"8868","C1AE00979010","201206","201306"
"8869","C1AE00135922","200708","200808"
"8870","C1AE00421169","201310","201410"
"8871","C1AE00869894","200910","201010"
"8872","C1AE00491405","201505","201605"
"8873","C1AE00997008","201211","201311"
"8874","C1AE00861720","200908","201008"
"8875","C1AE00908899","201603","201703"
"8876","C1AE00194595","201008","201108"
"8877","C1AE00649526","201511","201611"
"8878","C1AE00876429","201004","201104"
"8879","C1AE00193162","200906","201006"
"8880","C1AE00566436","201106","201206"
"8881","C1AE00471145","201008","201108"
"8882","C1AE00820039","201612","201712"
"8883","C1AE00279520","201201","201301"
"8884","C1AE00861975","201004","201104"
"8885","C1AE00882338","201612","201712"
"8886","C1AE00166706","200804","200904"
"8887","C1AE00829431","201208","201308"
"8888","C1AE00685580","201306","201406"
"8889","C1AE00765032","201607","201707"
"8890","C1AE00951172","201401","201501"
"8891","C1AE00615841","201412","201512"
"8892","C1AE00387136","201607","201707"
"8893","C1AE00291845","201103","201203"
"8894","C1AE00940721","201408","201508"
"8895","C1AE00284437","201001","201101"
"8896","C1AE00502706","201001","201101"
"8897","C1AE00694914","200707","200807"
"8898","C1AE00258661","200909","201009"
"8899","C1AE00595024","201603","201703"
"8900","C1AE00508649","201503","201603"
"8901","C1AE00491904","201609","201709"
"8902","C1AE00804406","201407","201507"
"8903","C1AE00762476","201001","201101"
"8904","C1AE00957813","201208","201308"
"8905","C1AE00722558","201103","201203"
"8906","C1AE00710455","201501","201601"
"8907","C1AE00427309","201101","201201"
"8908","C1AE00978664","201309","201409"
"8909","C1AE00406061","201408","201508"
"8910","C1AE00380969","201010","201110"
"8911","C1AE00688655","201306","201406"
"8912","C1AE00050040","201410","201510"
"8913","C1AE00610392","201009","201109"
"8914","C1AE00038204","201605","201705"
"8915","C1AE00202084","201112","201212"
"8916","C1AE00861277","201501","201601"
"8917","C1AE00022710","201204","201304"
"8918","C1AE00570697","201409","201509"
"8919","C1AE00825118","201307","201407"
"8920","C1AE00385398","201309","201409"
"8921","C1AE00086772","201501","201601"
"8922","C1AE00917858","200903","201003"
"8923","C1AE00169501","201307","201407"
"8924","C1AE00388779","201601","201701"
"8925","C1AE00359469","201609","201709"
"8926","C1AE00389138","201602","201702"
"8927","C1AE00958907","201405","201505"
"8928","C1AE00243389","201406","201506"
"8929","C1AE00409252","201403","201503"
"8930","C1AE00805701","201006","201106"
"8931","C1AE00016966","201211","201311"
"8932","C1AE00571830","201010","201110"
"8933","C1AE00930562","201401","201501"
"8934","C1AE00391011","201409","201509"
"8935","C1AE00537800","201306","201406"
"8936","C1AE00103495","201506","201606"
"8937","C1AE00067454","201409","201509"
"8938","C1AE00360235","200903","201003"
"8939","C1AE00911306","201005","201105"
"8940","C1AE00512770","201101","201201"
"8941","C1AE00946986","201412","201512"
"8942","C1AE00174850","201308","201408"
"8943","C1AE00349931","200708","200808"
"8944","C1AE00266403","201304","201404"
"8945","C1AE00765335","201104","201204"
"8946","C1AE00028253","201212","201312"
"8947","C1AE00685741","201406","201506"
"8948","C1AE00073963","201502","201602"
"8949","C1AE00972359","201202","201302"
"8950","C1AE00460172","200909","201009"
"8951","C1AE00338615","201402","201502"
"8952","C1AE00208917","201611","201711"
"8953","C1AE00314736","200805","200905"
"8954","C1AE00998379","201512","201612"
"8955","C1AE00965469","201111","201211"
"8956","C1AE00196983","201209","201309"
"8957","C1AE00535761","200907","201007"
"8958","C1AE00384949","201010","201110"
"8959","C1AE00669204","201301","201401"
"8960","C1AE00309891","201605","201705"
"8961","C1AE00207669","201603","201703"
"8962","C1AE00216140","200908","201008"
"8963","C1AE00997886","201412","201512"
"8964","C1AE00604294","201312","201412"
"8965","C1AE00683618","201108","201208"
"8966","C1AE00759818","201206","201306"
"8967","C1AE00024778","201005","201105"
"8968","C1AE00795917","201005","201105"
"8969","C1AE00496973","201207","201307"
"8970","C1AE00762265","201203","201303"
"8971","C1AE00634500","200812","200912"
"8972","C1AE00204050","200808","200908"
"8973","C1AE00136267","200906","201006"
"8974","C1AE00100570","201205","201305"
"8975","C1AE00277864","201606","201706"
"8976","C1AE00822478","201607","201707"
"8977","C1AE00873629","201104","201204"
"8978","C1AE00942729","200707","200807"
"8979","C1AE00372159","201507","201607"
"8980","C1AE00613966","201104","201204"
"8981","C1AE00148984","200904","201004"
"8982","C1AE00110758","201202","201302"
"8983","C1AE00938186","201203","201303"
"8984","C1AE00763897","201502","201602"
"8985","C1AE00368546","201504","201604"
"8986","C1AE00839916","201012","201112"
"8987","C1AE00462191","201406","201506"
"8988","C1AE00084155","200908","201008"
"8989","C1AE00641446","201211","201311"
"8990","C1AE00288306","201509","201609"
"8991","C1AE00928029","201111","201211"
"8992","C1AE00535596","201003","201103"
"8993","C1AE00504357","201610","201710"
"8994","C1AE00277290","201401","201501"
"8995","C1AE00729579","201202","201302"
"8996","C1AE00208366","201007","201107"
"8997","C1AE00814912","201301","201401"
"8998","C1AE00395893","201008","201108"
"8999","C1AE00205834","201211","201311"
"9000","C1AE00523949","201604","201704"
"9001","C1AE00731121","201603","201703"
"9002","C1AE00563517","201304","201404"
"9003","C1AE00469110","201412","201512"
"9004","C1AE00534148","201202","201302"
"9005","C1AE00299245","201009","201109"
"9006","C1AE00326723","201410","201510"
"9007","C1AE00298427","201606","201706"
"9008","C1AE00513543","201305","201405"
"9009","C1AE00628226","201410","201510"
"9010","C1AE00573440","201106","201206"
"9011","C1AE00675367","201211","201311"
"9012","C1AE00967128","201206","201306"
"9013","C1AE00245271","201302","201402"
"9014","C1AE00625220","201201","201301"
"9015","C1AE00589147","201008","201108"
"9016","C1AE00932396","201101","201201"
"9017","C1AE00052608","200906","201006"
"9018","C1AE00848241","201508","201608"
"9019","C1AE00788019","201203","201303"
"9020","C1AE00648443","201609","201709"
"9021","C1AE00959904","201506","201606"
"9022","C1AE00879743","201002","201102"
"9023","C1AE00879102","201202","201302"
"9024","C1AE00147919","201011","201111"
"9025","C1AE00702077","201510","201610"
"9026","C1AE00605580","201607","201707"
"9027","C1AE00959084","201410","201510"
"9028","C1AE00819948","200803","200903"
"9029","C1AE00219895","201401","201501"
"9030","C1AE00880641","201410","201510"
"9031","C1AE00936047","201507","201607"
